id,name,node_list
8140492,40 Mile Beach Access Rd,"[[2631979869, 280459985, 2631979866, 308875512]]"
1050170,Abercrombie Rd,"[[650089101, 106276951, 1869190188, 1869190191, 106276954, 6274141177, 6191916751, 6191916762, 6191916760, 6191916758, 6191916757, 6191916756, 6191916761, 650086763, 650086760, 6274141176, 650086766, 650086765, 1502959374], [650086765, 1502959374, 1804898462, 650089109], [1804898462, 650089109], [1804898462, 650089109, 650089122], [650089109, 650089122], [650089109, 650089122], [650089109, 650089122, 6286551648], [650089122, 6286551648], [650089122, 6286551648, 862613245, 862613246, 6286551651], [862613246, 6286551651, 6192497021, 862613247, 862613250, 862613254, 6286551652], [862613254, 6286551652, 6192497022, 711930126, 862613217, 6286551655, 862613221, 6286551654, 862613224, 6286551653, 862613230, 6286551649, 711930122, 6286551650, 862613238, 6286551648, 862613245, 862613246, 6286551651, 6192497021, 862613247, 862613250, 6286551644, 6286551643, 6192497025], [6286551643, 6192497025, 6192497026, 6286551641], [6192497026, 6286551641, 1844950367, 6286551642, 571688060, 571688059], [571688060, 571688059, 571688058], [571688059, 571688058], [571688059, 571688058, 571688057, 571688056, 571688055, 571688054, 571688053, 6288306558, 5942830889, 5942830896, 6288306556, 5942830897, 278128932]]"
